Date;Tavg
2017-01-01;27.7
2017-01-02;25.9
2017-01-03;27.8
2017-01-04;24.9
2017-01-05;26.1
2017-01-06;26.7
2017-01-07;27.1
2017-01-08;26.9
2017-01-09;24.6
2017-01-10;26.3
2017-01-11;26.1
2017-01-12;26.4
2017-01-13;26.8
2017-01-14;25.2
2017-01-15;25.1
2017-01-16;24.2
2017-01-17;24.2
2017-01-18;26.6
2017-01-19;25.8
2017-01-20;26
2017-01-21;26.6
2017-01-22;26.3
2017-01-23;26.6
2017-01-24;25.7
2017-01-25;27
2017-01-26;25.6
2017-01-27;25.1
2017-01-28;24.3
2017-01-29;24.5
2017-01-30;25.2
2017-01-31;25.1
2017-02-01;23.8
2017-02-02;24.9
2017-02-03;24.2
2017-02-04;24.4
2017-02-05;25.8
2017-02-06;25.5
2017-02-07;25.3
2017-02-08;25.7
2017-02-09;24
2017-02-10;24.5
2017-02-11;23.8
2017-02-12;24.8
2017-02-13;25.1
2017-02-14;25.2
2017-02-15;24.8
2017-02-16;24.7
2017-02-17;25.9
2017-02-18;25.5
2017-02-19;24.7
2017-02-20;24.6
2017-02-21;24.4
2017-02-22;25.6
2017-02-23;25.3
2017-02-24;25.1
2017-02-25;25.4
2017-02-26;25.4
2017-02-27;25.3
2017-02-28;25.4
2017-03-01;25.7
2017-03-02;25.7
2017-03-03;26
2017-03-04;25.6
2017-03-05;25.6
2017-03-06;26
2017-03-07;25
2017-03-08;26.3
2017-03-09;25.3
2017-03-10;25.7
2017-03-11;25.3
2017-03-12;25.5
2017-03-13;27.2
2017-03-14;27.2
2017-03-15;26.2
2017-03-16;26.5
2017-03-17;25.8
2017-03-18;25.1
2017-03-19;25.4
2017-03-20;25.3
2017-03-21;26.3
2017-03-22;25.7
2017-03-23;25.2
2017-03-24;26.2
2017-03-25;26.4
2017-03-26;24.9
2017-03-27;25.4
2017-03-28;25.5
2017-03-29;25.46
2017-03-30;25.46
2017-03-31;25.6
2017-04-01;25.9
2017-04-02;26.3
2017-04-03;25.8
2017-04-04;25.9
2017-04-05;25.7
2017-04-06;25.6
2017-04-07;26.1
2017-04-08;25.9
2017-04-09;26.1
2017-04-10;25.8
2017-04-11;26.3
2017-04-12;26.3
2017-04-13;26.9
2017-04-14;26.4
2017-04-15;25.9
2017-04-16;25.7
2017-04-17;26.6
2017-04-18;27.1
2017-04-19;25.9
2017-04-20;26
2017-04-21;27.1
2017-04-22;25.3
2017-04-23;25.6
2017-04-24;26.2
2017-04-25;26.6
2017-04-26;26.1
2017-04-27;25.8
2017-04-28;25.7
2017-04-29;26.6
2017-04-30;26.7
2017-05-01;25.8
2017-05-02;25.7
2017-05-03;26.6
2017-05-04;25.7
2017-05-05;24.7
2017-05-06;25.6
2017-05-07;25.3
2017-05-08;24.8
2017-05-09;27.3
2017-05-10;25.2
2017-05-11;25.6
2017-05-12;25.8
2017-05-13;27.4
2017-05-14;26.6
2017-05-15;27.5
2017-05-16;27.4
2017-05-17;27.7
2017-05-18;27
2017-05-19;27.4
2017-05-20;26.9
2017-05-21;27.7
2017-05-22;27.4
2017-05-23;27.1
2017-05-24;26.9
2017-05-25;26.9
2017-05-26;26.6
2017-05-27;27.8
2017-05-28;25.8
2017-05-29;25.9
2017-05-30;26.4
2017-05-31;26.7
2017-06-01;26.4
2017-06-02;26.5
2017-06-03;26.2
2017-06-04;26.2
2017-06-05;27.3
2017-06-06;26.7
2017-06-07;27.4
2017-06-08;26.7
2017-06-09;26.6
2017-06-10;26.6
2017-06-11;26.2
2017-06-12;26.6
2017-06-13;26.7
2017-06-14;26.7
2017-06-15;26.5
2017-06-16;27.1
2017-06-17;27
2017-06-18;25.6
2017-06-19;25.8
2017-06-20;26.7
2017-06-21;26
2017-06-22;26.2
2017-06-23;26.1
2017-06-24;25.6
2017-06-25;26.6
2017-06-26;25
2017-06-27;25.6
2017-06-28;25.5
2017-06-29;25.3
2017-06-30;24.8
2017-07-01;24.9
2017-07-02;26.9
2017-07-03;26.5
2017-07-04;27.1
2017-07-05;26.6
2017-07-06;26.1
2017-07-07;25.8
2017-07-08;26.5
2017-07-09;26.7
2017-07-10;26.2
2017-07-11;25.8
2017-07-12;26
2017-07-13;26.4
2017-07-14;26
2017-07-15;26
2017-07-16;25.4
2017-07-17;25.3
2017-07-18;25.6
2017-07-19;26.3
2017-07-20;25.7
2017-07-21;26.2
2017-07-22;25.6
2017-07-23;26
2017-07-24;26.2
